timestamp,juror,repo_a,repo_b,parent,choice,multiplier,reasoning
2025-01-24T19:03:52.628Z,L1Juror1,https://github.com/erigontech/erigon,https://github.com/hyperledger/besu,ethereum,2.0,5.27,
2025-01-24T19:17:57.066Z,L1Juror1,https://github.com/web3/web3.js,https://github.com/paradigmxyz/reth,ethereum,1.0,2.22,
2025-01-24T19:20:19.601Z,L1Juror1,https://github.com/erigontech/erigon,https://github.com/ethereum/go-ethereum,ethereum,2.0,10.55,
2025-01-24T19:25:40.017Z,L1Juror1,https://github.com/ethereumjs/ethereumjs-monorepo,https://github.com/ethers-io/ethers.js,ethereum,2.0,4.0,
2025-01-15T11:19:51.121Z,L1Juror10,https://github.com/erigontech/erigon,https://github.com/ethereum/web3.py,ethereum,1.0,50.0,
2025-01-15T11:22:16.292Z,L1Juror10,https://github.com/prysmaticlabs/prysm,https://github.com/hyperledger/besu,ethereum,1.0,3.0,
2025-01-15T11:24:06.402Z,L1Juror10,https://github.com/safe-global/safe-smart-account,https://github.com/paradigmxyz/reth,ethereum,1.0,1.5,
2025-01-15T11:25:53.213Z,L1Juror10,https://github.com/vyperlang/vyper,https://github.com/ethereum/go-ethereum,ethereum,2.0,10.0,
2025-01-15T20:40:34.675Z,L1Juror11,https://github.com/hyperledger/besu,https://github.com/grandinetech/grandine,ethereum,1.0,50.0,
2025-01-15T20:42:56.210Z,L1Juror11,https://github.com/erigontech/erigon,https://github.com/sigp/lighthouse,ethereum,2.0,5.0,
2025-01-15T20:43:45.271Z,L1Juror11,https://github.com/grandinetech/grandine,https://github.com/ethereum/solidity,ethereum,2.0,40.0,
2025-01-23T14:54:25.432Z,L1Juror13,https://github.com/web3/web3.js,https://github.com/a16z/helios,ethereum,1.0,5.0,
2025-01-23T15:26:15.490Z,L1Juror13,https://github.com/chainsafe/lodestar,https://github.com/safe-global/safe-smart-account,ethereum,1.0,8.0,
2025-01-23T16:02:52.540Z,L1Juror13,https://github.com/paradigmxyz/reth,https://github.com/vyperlang/vyper,ethereum,1.0,3.0,
2025-01-23T16:11:48.029Z,L1Juror13,https://github.com/ethereumjs/ethereumjs-monorepo,https://github.com/nethermindeth/nethermind,ethereum,2.0,5.0,
2025-01-23T16:29:20.907Z,L1Juror13,https://github.com/status-im/nimbus-eth2,https://github.com/erigontech/erigon,ethereum,2.0,1.5,
2025-01-23T16:33:06.018Z,L1Juror13,https://github.com/scaffold-eth/scaffold-eth-2,https://github.com/paradigmxyz/reth,ethereum,2.0,4.0,
2025-01-23T16:38:52.720Z,L1Juror13,https://github.com/ethereum/fe,https://github.com/hyperledger-web3j/web3j,ethereum,2.0,5.0,
2025-01-23T16:42:20.093Z,L1Juror13,https://github.com/ethers-io/ethers.js,https://github.com/nomicfoundation/hardhat,ethereum,1.0,3.0,
2025-01-23T16:55:00.152Z,L1Juror13,https://github.com/ethereum/web3.py,https://github.com/consensys/teku,ethereum,2.0,10.0,
2025-01-23T16:59:25.720Z,L1Juror13,https://github.com/erigontech/erigon,https://github.com/ethereum-lists/chains,ethereum,1.0,5.0,
2025-01-23T17:01:15.387Z,L1Juror13,https://github.com/ethers-io/ethers.js,https://github.com/ethereum/fe,ethereum,1.0,10.0,
2025-01-20T10:07:56.392Z,L1Juror14,https://github.com/ethereum/solidity,https://github.com/nethermindeth/nethermind,ethereum,1.0,10.0,
2025-01-20T10:08:50.289Z,L1Juror14,https://github.com/paradigmxyz/reth,https://github.com/ethereum/solidity,ethereum,2.0,10.0,
2025-01-20T10:09:14.587Z,L1Juror14,https://github.com/status-im/nimbus-eth2,https://github.com/ethereum/solidity,ethereum,2.0,10.0,
2025-01-20T10:09:40.295Z,L1Juror14,https://github.com/web3/web3.js,https://github.com/ethereum/remix-project,ethereum,2.0,3.0,
2025-02-20T16:05:26.011Z,L1Juror15,https://github.com/wevm/viem,https://github.com/nomicfoundation/hardhat,ethereum,2.0,1.5,
2025-02-20T16:08:00.121Z,L1Juror15,https://github.com/vyperlang/vyper,https://github.com/ethereum/fe,ethereum,2.0,2.0,
2025-03-01T02:25:04.715Z,L1Juror15,https://github.com/ethereum/py-evm,https://github.com/ethereum/sourcify,ethereum,2.0,2.5,
2025-03-01T02:26:27.301Z,L1Juror15,https://github.com/erigontech/erigon,https://github.com/alloy-rs/alloy,ethereum,1.0,4.0,
2025-03-01T04:24:15.931Z,L1Juror15,https://github.com/erigontech/erigon,https://github.com/hyperledger-web3j/web3j,ethereum,1.0,2.5,
2025-03-01T16:06:47.292Z,L1Juror15,https://github.com/grandinetech/grandine,https://github.com/chainsafe/lodestar,ethereum,1.0,2.0,
2025-03-01T16:08:01.124Z,L1Juror15,https://github.com/consensys/teku,https://github.com/erigontech/erigon,ethereum,1.0,2.5,
2025-01-23T00:54:40.483Z,L1Juror16,https://github.com/safe-global/safe-smart-account,https://github.com/a16z/helios,ethereum,1.0,20.0,
2025-01-24T01:45:02.484Z,L1Juror17,https://github.com/grandinetech/grandine,https://github.com/status-im/nimbus-eth2,ethereum,2.0,5.0,
2025-01-24T01:51:46.455Z,L1Juror17,https://github.com/sigp/lighthouse,https://github.com/ethereumjs/ethereumjs-monorepo,ethereum,1.0,10.0,
2025-01-24T02:18:48.528Z,L1Juror17,https://github.com/ethers-io/ethers.js,https://github.com/eth-infinitism/account-abstraction,ethereum,1.0,100.0,
2025-01-24T02:24:52.470Z,L1Juror17,https://github.com/eth-infinitism/account-abstraction,https://github.com/alloy-rs/alloy,ethereum,2.0,10.0,
2025-01-24T02:32:09.269Z,L1Juror17,https://github.com/ethereum/remix-project,https://github.com/ethereum/solidity,ethereum,2.0,999.0,
2025-01-24T02:41:06.537Z,L1Juror17,https://github.com/wevm/viem,https://github.com/vyperlang/vyper,ethereum,2.0,20.0,
2025-01-24T02:47:20.065Z,L1Juror17,https://github.com/sigp/lighthouse,https://github.com/consensys/teku,ethereum,1.0,1.5,
2025-01-24T03:13:57.993Z,L1Juror17,https://github.com/prysmaticlabs/prysm,https://github.com/web3/web3.js,ethereum,1.0,100.0,
2025-01-24T03:25:50.949Z,L1Juror17,https://github.com/ethereum/go-ethereum,https://github.com/nomicfoundation/hardhat,ethereum,1.0,50.0,
